"","coeffs_ols","se_ols","coeffs_em","se_em","coeffs_fm","se_fm","coeffs_ipw","se_ipw","coeffs_aipw","se_aipw"
"1",-28.7778124593601,0.754439680484335,-29.3759425357129,1.02853954915611,-29.2172235167338,4.61947164879447,-29.4058059573784,1.00902865540936,-29.4531264630674,1.02612819153935
"2",-29.374340474734,0.747458174493915,-29.2232958500639,1.05786686360402,-28.0411931279567,6.76591559211051,-29.5029541764959,1.03136240406861,-29.5447315955319,1.0445496163013
"3",-30.0930751603967,0.756786664587797,-30.3638160528029,1.03115343915857,-28.8056380258877,5.45010999983797,-30.6281137613704,1.01303109984333,-30.6568578166666,1.02987389644977
"4",-29.8563867765568,0.75377806273837,-29.8311120930346,1.05009015842563,-36.6096631406835,7.06187814929676,-29.8754045176575,1.03767597795978,-29.9013106279685,1.05665317633026
"5",-28.8353985585651,0.754723113080609,-28.6831370252474,1.04106158655837,-23.4013666947848,12.5086866670802,-28.7127256468064,1.03105319796636,-28.7355051625819,1.05574886940501
"6",-30.7891011627735,0.761594806593093,-30.1864857206412,1.08805188686333,-30.891154012691,5.85768978941524,-30.1202769195975,1.07356779192095,-30.1291113555193,1.10039838092434
"7",-30.7004744955079,0.770938370041552,-30.103700617821,1.08164852108715,-32.0064861124468,9.8481475121695,-30.2138750153678,1.05804775122385,-30.2428739454102,1.08252340532876
"8",-30.649863272133,0.765973276324397,-30.4517744356726,1.07306183979639,-27.6141961326968,8.41622956596924,-30.6585095180594,1.060063579954,-30.6799412832171,1.07756671786837
"9",-30.0391785425882,0.749407788716806,-29.9618463974839,1.06106435312744,-32.8646067626412,4.77725643335617,-30.172640218104,1.0457771481304,-30.1967631237032,1.0689554211442
"10",-30.0422648141767,0.749632248301432,-30.4078558768048,1.01269536874143,-24.9519407363064,12.7639675151607,-30.3431630214134,1.01604328078859,-30.341155771343,1.04302410706268
"11",-28.347328545715,0.764396996656091,-28.0602962579557,1.07911743123917,-42.7179591551847,9.4125112427801,-28.3262170542632,1.0622178651096,-28.3527017423187,1.0888997160365
"12",-30.5470595836557,0.740196660358195,-30.7682595365242,0.997180140467717,-35.1121897770456,7.86724720421609,-30.6876077994271,0.997300256158162,-30.6945481183392,1.01903877370577
"13",-30.2537809650814,0.750628579352402,-30.3960563014285,1.03197793702483,-29.5679454591499,6.71314783659621,-30.73837319892,1.00849686277306,-30.7623453544816,1.02380557178582
"14",-29.104203512471,0.752973627341081,-29.126097666021,1.03959924816253,-29.5587238806994,8.44972928237758,-28.9704161066919,1.04736180027139,-28.9653584384824,1.07847218678789
"15",-29.0986428112048,0.739416456390136,-28.9938794423435,1.04585018739854,-27.7245161701808,6.62171114594624,-29.5272831483046,1.01526078768595,-29.5560381640006,1.03080246223126
"16",-29.5117646771962,0.761802265188988,-29.8611041480559,1.04240189140898,-21.4181974851136,6.62780300162467,-30.2565159494505,1.02538370180837,-30.2851662510672,1.03440681983777
"17",-29.8751303299535,0.74815709016674,-30.5134954545265,1.0212581546885,-29.4968705749441,7.28137668886168,-30.6813247030039,1.01122956140656,-30.7012944771195,1.02165947775114
"18",-30.3963530537498,0.734170867304559,-30.5391897039879,1.03361842796946,-27.2102712902282,5.57708694084714,-30.7890872690858,1.01055073750379,-30.8293586951001,1.02552087714828
"19",-31.2310643057726,0.748111273670066,-31.2575197931095,1.01686325182425,-34.9767915353174,5.5155895294572,-31.3663179238977,1.01840417324339,-31.3682858674551,1.03267736286327
"20",-31.3711494090796,0.764252208135227,-31.8296873189072,1.0331878692068,-33.8635021347605,9.04928218802702,-31.6418753937593,1.0380249605673,-31.638656628622,1.05448585850059
"21",-31.1304049579446,0.731638640145016,-31.1533922141265,1.01402512936094,-40.3035334081583,6.08597638653552,-31.2700044213167,1.01676996135457,-31.269698349471,1.03646677346921
"22",-29.8365607702146,0.738811822307643,-29.5800187189065,1.06041923966144,-27.2772146670008,6.73962613443091,-29.844438560711,1.03704709542623,-29.8841108609979,1.06506770943104
